file,electric,lightning,nuclear,temporal
campione_3_neutron_burst_thunderstorm\arxiv_2601.17234.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2601.19289.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2604.14385.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.01792.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.01855.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.01870.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.01894.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.02032.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.02190.json,0,0,0,0
campione_3_neutron_burst_thunderstorm\arxiv_2606.02266.json,0,0,0,0
